video_id,title,description,channel_name,channel_id,video_type,channel_thumbnail,channel_subscribers,published_at,date_published,age_hours,thumbnail,tags,category_id,duration_seconds,duration_formatted,view_count,like_count,comment_count,engagement_rate,url,fetched_at
E4dP7Z594Us,#Shorts : युद्ध की मार से कैसे उबरा देश का शेयर बाजार? | Gold-Silver News | Share Market,"#Shorts : युद्ध की मार से कैसे उबरा देश का शेयर बाजार? | Gold-Silver News | Share Market
#sharemarket #goldsilvernews #sensex #zeenews 

About Channel:

ज़ी न्यूज़ देश का सबसे भरोसेमंद हिंदी न्यूज़ चैनल है। जो 24 घंटे लगातार भारत और दुनिया से जुड़ी हर ब्रेकिंग न्यूज़, नवीनतम समाचार, राजनीति, मनोरंजन और खेल से जुड़ी खबरे आपके लिए लेकर आता है। इसलिए बने रहें ज़ी न्यूज़ के साथ और सब्सक्राइब करें | 

Zee News is India's most trusted Hindi News Channel with 24 hour coverage. Zee News covers Breaking news",zee_news,UCIvaYmXn910QMdemBG3v1pQ,Video,https://yt3.ggpht.com/TS6ObzI_MXbssyfyx0flQVm28pImVL4sJd1juAqQEiTpU9TOOV9smTFkqEUHzSy5EyEIUCwXmYI=s88-c-k-c0x00ffffff-no-rj,42000000,2026-04-15T18:20:00Z,2026-04-15,0.1,https://i.ytimg.com/vi/E4dP7Z594Us/hqdefault.jpg,"['zee news', 'hindi news', 'breaking news', 'top news', 'latest news', 'political news', 'india news today', 'gold silver price today', 'silver price hike', 'commodity market news', 'live gold silver price update', 'COMEX silver price hike', 'international market gold silver trends', 'Silver Price', 'Silver Price Today']",25,143,2m 23s,86,5,0,5.814,https://www.youtube.com/watch?v=E4dP7Z594Us,2026-04-15T18:28:57.898693+00:00
cMLIntuYodg,Baat Pate Ki: टिहरी झील में पहली बार उतरा सी-प्लेन I Uttarakhand I Tehri Lake I Sea Plane I ZEE News,"Baat Pate Ki: टिहरी झील में पहली बार उतरा सी-प्लेन I Uttarakhand I Tehri Lake I Sea Plane I ZEE News

टिहरी झील में सी-प्लेन उतारने का पहला ट्रायल सफल रहा. मंगलवार को जौलीग्रांट एयरपोर्ट से टेक ऑफ हुआ 19 सीटर सी-प्लेन शाम करीब साढ़े पांच बजे कोटी कालोनी टिहरी झील में सफलता पूर्वक लैंड कराया गया है

The first trial of a seaplane landing at Tehri Lake was successful. The 19-seater seaplane, which took off from Jolly Grant Airport on Tuesday, successfully landed at Koti Colony Tehri Lake at around ",zee_news,UCIvaYmXn910QMdemBG3v1pQ,Video,https://yt3.ggpht.com/TS6ObzI_MXbssyfyx0flQVm28pImVL4sJd1juAqQEiTpU9TOOV9smTFkqEUHzSy5EyEIUCwXmYI=s88-c-k-c0x00ffffff-no-rj,42000000,2026-04-15T18:20:00Z,2026-04-15,0.1,https://i.ytimg.com/vi/cMLIntuYodg/hqdefault.jpg,"['zee news', 'hindi news', 'breaking news', 'top news', 'latest news', 'india news today', 'Tehri Lake Seaplane', 'Uttarakhand Tourism', 'Seaplane Trial', 'Jolly Grant Airport', 'Sky Hop Company', 'Tehri Lake Landing', 'Tourism Boost', 'Uttarakhand News']",25,191,3m 11s,59,1,0,1.6949,https://www.youtube.com/watch?v=cMLIntuYodg,2026-04-15T18:28:57.898760+00:00
x9Z4AuWwqHU,#shorts DNA : स्पैम कॉल के खिलाफ आज निर्णायक संवाद | Spam Call News | Breaking,"#shorts DNA : स्पैम कॉल के खिलाफ आज निर्णायक संवाद | Spam Call News | Breaking

#spamcall #spamcalls #stopspam #breakingnews 


About Channel:

ज़ी न्यूज़ देश का सबसे भरोसेमंद हिंदी न्यूज़ चैनल है। जो 24 घंटे लगातार भारत और दुनिया से जुड़ी हर ब्रेकिंग न्यूज़, नवीनतम समाचार, राजनीति, मनोरंजन और खेल से जुड़ी खबरे आपके लिए लेकर आता है। इसलिए बने रहें ज़ी न्यूज़ के साथ और सब्सक्राइब करें | 

Zee News is India's most trusted Hindi News Channel with 24 hour coverage. Zee News covers Breaking news, Latest ",zee_news,UCIvaYmXn910QMdemBG3v1pQ,Video,https://yt3.ggpht.com/TS6ObzI_MXbssyfyx0flQVm28pImVL4sJd1juAqQEiTpU9TOOV9smTFkqEUHzSy5EyEIUCwXmYI=s88-c-k-c0x00ffffff-no-rj,42000000,2026-04-15T18:15:06Z,2026-04-15,0.2,https://i.ytimg.com/vi/x9Z4AuWwqHU/hqdefault.jpg,"['zee news', 'hindi news', 'breaking news', 'top news', 'latest news', 'political news', 'india news today', 'Spam Calls', 'TRAI', 'spam calls', 'spam calls problem', 'spam calls complaints', 'spam call dnd', 'govt action against spam calls', 'telecom system']",25,167,2m 47s,97,2,0,2.0619,https://www.youtube.com/watch?v=x9Z4AuWwqHU,2026-04-15T18:28:57.898819+00:00
CVZcTDOa6nA,"Chunavi Doorbin : हावड़ा के शिवपुर सीट से चुनावी दूरबीन में किसकी जीत, किसकी हार? | Bengal Election","Zee न्यूज़ की चुनावी दूरबीन पहुंची है हावड़ा के शिवपुर. इस सीट पर तीन बार से लगातार टीएमसी का कब्जा है, लेकिन इस बार टीएमसी ने पूर्व क्रिकेटर मनोज तिवारी को टिकट काटा और राणा चटर्जी को मैदान में उतारा. उनको टक्कर देने के लिए बीजेपी ने एक्टर रुद्रनील घोष को टिकट दिया.

Zee News's 'Election Telescope' has reached Shibpur in Howrah. The TMC has held this seat continuously for three terms; however, this time around, the party dropped former cricketer Manoj Tiwary and fielded Rana Chatterjee instead.",zee_news,UCIvaYmXn910QMdemBG3v1pQ,Video,https://yt3.ggpht.com/TS6ObzI_MXbssyfyx0flQVm28pImVL4sJd1juAqQEiTpU9TOOV9smTFkqEUHzSy5EyEIUCwXmYI=s88-c-k-c0x00ffffff-no-rj,42000000,2026-04-15T18:15:01Z,2026-04-15,0.2,https://i.ytimg.com/vi/CVZcTDOa6nA/hqdefault.jpg,"['zee news', 'hindi news', 'breaking news', 'top news', 'latest news', 'political news', 'india news today', 'West Bengal Assembly Election 2026', 'Mamata Banerjee', 'Trinamool Congress', 'Bengal politics', 'Bengal election promises', 'Bengal election new', 'Assembly Elections 2026', 'PM Modi']",25,432,7m 12s,58,1,0,1.7241,https://www.youtube.com/watch?v=CVZcTDOa6nA,2026-04-15T18:28:57.898885+00:00
UGF-oIyVtHk,"Rajniti : मुनीर-शहबाज ने इमरान को अंधा किया, बुशरा बीबी से बर्बता I Pakistan I Imran Khan",पाकिस्तान से एक बार फिर ऐसी खबर आई जो शहबाज और मुन्नी के तानाशाही शासन पर मोहर लगा। पाकिस्तान के पूर्व पीएम इमरान खान की हालत बहुत खराब है। इस बार इमरान ने खुद जेल में अपनी हत्या की आशंका जताई। सीधे आज तो मुन्नी का नाम लिया। पूरी डिटेल इस रिपोर्ट में दिखाते हैं। क्या जेल से बाहर नहीं आएंगे इमरान? मुनीर शहबाज ने इमरान को अंधा किया। बुशरा बीवी से बर्बरता। एक तरफ पाकिस्तान में आवाम तेल संकट की मार और महंगाई से परेशान है। आक्रोश की आग झेल रही है। इस बीच इमरान को लेकर एक बार फिर ऐसी खबर जिसके बाद लाह,zee_news,UCIvaYmXn910QMdemBG3v1pQ,Video,https://yt3.ggpht.com/TS6ObzI_MXbssyfyx0flQVm28pImVL4sJd1juAqQEiTpU9TOOV9smTFkqEUHzSy5EyEIUCwXmYI=s88-c-k-c0x00ffffff-no-rj,42000000,2026-04-15T18:10:00Z,2026-04-15,0.3,https://i.ytimg.com/vi/UGF-oIyVtHk/hqdefault.jpg,"['zee news', 'hindi news', 'breaking news', 'top news', 'latest news', 'political news', 'india news today']",25,104,1m 44s,132,1,0,0.7576,https://www.youtube.com/watch?v=UGF-oIyVtHk,2026-04-15T18:28:57.898923+00:00
aKWX5rBMNJ8,Pakistan's condition:सीएम योगी को दीदी ने क्या चैलेंज दिया,"Pakistan's condition:सीएम योगी को दीदी ने क्या चैलेंज दिया 
#ytshorts #pakistan #navy 

About Channel:

ज़ी न्यूज़ देश का सबसे भरोसेमंद हिंदी न्यूज़ चैनल है। जो 24 घंटे लगातार भारत और दुनिया से जुड़ी हर ब्रेकिंग न्यूज़, नवीनतम समाचार, राजनीति, मनोरंजन और खेल से जुड़ी खबरे आपके लिए लेकर आता है। इसलिए बने रहें ज़ी न्यूज़ के साथ और सब्सक्राइब करें | 

Zee News is India's most trusted Hindi News Channel with 24 hour coverage. Zee News covers Breaking news, Latest news, Politics, Entertainment and Sports",zee_news,UCIvaYmXn910QMdemBG3v1pQ,Short,https://yt3.ggpht.com/TS6ObzI_MXbssyfyx0flQVm28pImVL4sJd1juAqQEiTpU9TOOV9smTFkqEUHzSy5EyEIUCwXmYI=s88-c-k-c0x00ffffff-no-rj,42000000,2026-04-15T18:10:00Z,2026-04-15,0.3,https://i.ytimg.com/vi/aKWX5rBMNJ8/hqdefault.jpg,"['zee news', 'hindi news', 'breaking news', 'top news', 'latest news', 'political news', 'india news today']",25,54,54s,523,11,0,2.1033,https://www.youtube.com/watch?v=aKWX5rBMNJ8,2026-04-15T18:28:57.898956+00:00
5D6bEchV9ms,Shorts : ''अर्ध-धर्मांतरण'..बंगाल से बहुत बड़ा खुलासा  | Ardh Dharmantaran,"Shorts : ''अर्ध-धर्मांतरण'..बंगाल से बहुत बड़ा खुलासा  | Ardh Dharmantaran

#dnawithrahulsinha #dnalive #dna #ardhdharmantaran #bengalelections2026 #asaduddinowaisi #spamcalls #goldsilvernews #americairanwar #donaldtrump #israelhamaswar #zeenews 



About Channel:

ज़ी न्यूज़ देश का सबसे भरोसेमंद हिंदी न्यूज़ चैनल है। जो 24 घंटे लगातार भारत और दुनिया से जुड़ी हर ब्रेकिंग न्यूज़, नवीनतम समाचार, राजनीति, मनोरंजन और खेल से जुड़ी खबरे आपके लिए लेकर आता है। इसलिए बने रहें ज़ी न्यूज़ के साथ और सब्सक्राइब ",zee_news,UCIvaYmXn910QMdemBG3v1pQ,Video,https://yt3.ggpht.com/TS6ObzI_MXbssyfyx0flQVm28pImVL4sJd1juAqQEiTpU9TOOV9smTFkqEUHzSy5EyEIUCwXmYI=s88-c-k-c0x00ffffff-no-rj,42000000,2026-04-15T18:08:20Z,2026-04-15,0.3,https://i.ytimg.com/vi/5D6bEchV9ms/hqdefault.jpg,"['DNA with Rahul Sinha', 'Daily News Analysis', 'DNA LIVE', 'Ardh Dharmantaran', 'Dharmantaran News', 'bengal election 2026', 'asaduddin owaisi', 'women reservation bill', 'pm modi', 'parliament', 'nari shakti vandan adhiniyam', 'Spam Calls', 'Spam Calls news', 'gold silver', 'gold silver news']",25,180,3m 0s,163,4,0,2.454,https://www.youtube.com/watch?v=5D6bEchV9ms,2026-04-15T18:28:57.898987+00:00
BLJQgS2DvwU,DNA Sandesh:अच्छी जिंदगी की चाबी हमेशा अपने पास रखिए। दूसरों की सोच से अपने दरवाजे कभी मत..।ZEE NEWS,"DNA Sandesh:  अच्छी जिंदगी की चाबी हमेशा अपने पास रखिए। दूसरों की सोच से अपने दरवाजे कभी मत खोलिए। क्योंकि फैसले अगर आपके होंगे, तो रास्ते भी आपके ही बनेंगे।
#shorts #trendingshorts #zeenews 

About Channel:
ज़ी न्यूज़ देश का सबसे भरोसेमंद हिंदी न्यूज़ चैनल है। जो 24 घंटे लगातार भारत और दुनिया से जुड़ी हर ब्रेकिंग न्यूज़, नवीनतम समाचार, राजनीति, मनोरंजन और खेल से जुड़ी खबरे आपके लिए लेकर आता है। इसलिए बने रहें ज़ी न्यूज़ के साथ और सब्सक्राइब करें | 

Zee News is India's most trusted Hindi News Chann",zee_news,UCIvaYmXn910QMdemBG3v1pQ,Short,https://yt3.ggpht.com/TS6ObzI_MXbssyfyx0flQVm28pImVL4sJd1juAqQEiTpU9TOOV9smTFkqEUHzSy5EyEIUCwXmYI=s88-c-k-c0x00ffffff-no-rj,42000000,2026-04-15T18:06:30Z,2026-04-15,0.4,https://i.ytimg.com/vi/BLJQgS2DvwU/hqdefault.jpg,"['zee news', 'hindi news', 'breaking news', 'top news', 'latest news', 'india news today', 'DNA', 'DNA with rahul sinha', 'trending']",25,12,12s,470,9,0,1.9149,https://www.youtube.com/watch?v=BLJQgS2DvwU,2026-04-15T18:28:57.899018+00:00
WsDoHVDcC-w,Deshhit : 'बोंटी-बोंटी..'हनुमान चालीसा बजाने पर भाईजान क्यों भड़के? I Hyderabad I ZEE News,मान्यता है कि बजरंगबली से भूत प्रेत भय खाते हैं। अब इस लिस्ट में कट्टरपंथियों का भी नाम जुड़ गया है। यूपी से हैदराबाद तक बजरंगबली के दुश्मनों में खौफ की लहर चल रही है। हैदराबाद में एक महिला के साथ मारपीट की गई। पीड़ित महिला का यह कहना है कि उसने अपनी दुकान पर हनुमान चालीसा की ऑडियो बजाई। विरोध करने वालों ने ना सिर्फ पत्थर चलाए बल्कि दुकान के अंदर भी घुस गए। तो यूपी के एक मदरसे में तो बकायदा बजरंगबली का वीडियो चलाकर अपमानित करने की कोशिश हुई। मैंने कहा हनुमान जी के बड़े बाबू बदायूं और हैदराबाद। ए,zee_news,UCIvaYmXn910QMdemBG3v1pQ,Video,https://yt3.ggpht.com/TS6ObzI_MXbssyfyx0flQVm28pImVL4sJd1juAqQEiTpU9TOOV9smTFkqEUHzSy5EyEIUCwXmYI=s88-c-k-c0x00ffffff-no-rj,42000000,2026-04-15T18:05:00Z,2026-04-15,0.4,https://i.ytimg.com/vi/WsDoHVDcC-w/hqdefault.jpg,"['zee news', 'hindi news', 'breaking news', 'top news', 'latest news', 'political news', 'india news today']",25,278,4m 38s,231,14,2,6.9264,https://www.youtube.com/watch?v=WsDoHVDcC-w,2026-04-15T18:28:57.899064+00:00
RuoraAWs3YE,Answer to Maulana :1000 बाबरी वाले मौलाना को तगड़ी चेतावनी! #ytshorts #babrimasjid #answer,"Answer to Maulana :1000 बाबरी वाले मौलाना को तगड़ी चेतावनी! #ytshorts #babrimasjid #answer 
About Channel:

ज़ी न्यूज़ देश का सबसे भरोसेमंद हिंदी न्यूज़ चैनल है। जो 24 घंटे लगातार भारत और दुनिया से जुड़ी हर ब्रेकिंग न्यूज़, नवीनतम समाचार, राजनीति, मनोरंजन और खेल से जुड़ी खबरे आपके लिए लेकर आता है। इसलिए बने रहें ज़ी न्यूज़ के साथ और सब्सक्राइब करें | 

Zee News is India's most trusted Hindi News Channel with 24 hour coverage. Zee News covers Breaking news, Latest news, Politics, Entertainment and Sp",zee_news,UCIvaYmXn910QMdemBG3v1pQ,Short,https://yt3.ggpht.com/TS6ObzI_MXbssyfyx0flQVm28pImVL4sJd1juAqQEiTpU9TOOV9smTFkqEUHzSy5EyEIUCwXmYI=s88-c-k-c0x00ffffff-no-rj,42000000,2026-04-15T18:00:27Z,2026-04-15,0.5,https://i.ytimg.com/vi/RuoraAWs3YE/hqdefault.jpg,"['zee news', 'hindi news', 'breaking news', 'top news', 'latest news', 'political news', 'india news today', 'Supreme Court', 'Babri Masjid', 'Public Interest Litigation', 'PIL', 'Babur', 'Mosque Construction', 'Religious Sites', 'Court Verdict']",25,45,45s,825,13,0,1.5758,https://www.youtube.com/watch?v=RuoraAWs3YE,2026-04-15T18:28:57.899128+00:00
